pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
POT1_M-?-TP53_M,2,1,4.000000,4,,5.216667e-01
KRAS_M-?-POT1_M KRAS_M-?-TP53_M POT1_M-?-TP53_M,3,3,2.000000,2,,6.250000e-02
GRIN2A_M-?-NFE2L2_M GRIN2A_M-?-TP53_M NFE2L2_M-?-TP53_M,3,3,2.000000,2,,2.937063e-01
ITGBL1_M-?-TP53_M,2,1,2.000000,2,,2.000000e-01
KMT2D_M-?-PTPRC_M KMT2D_M-?-TP53_M PTPRC_M-?-TP53_M,3,3,2.000000,2,,1.835664e-01
CDKN2A_N-?-KMT2D_M CDKN2A_N-?-TP53_M KMT2D_M-?-TP53_M,3,3,2.000000,2,,4.702797e-01
KMT2D_M-?-NFE2L2_M KMT2D_M-?-TP53_M NFE2L2_M-?-TP53_M,3,3,2.000000,2,,1.958042e-01
FANCM_M-?-NFE2L2_M FANCM_M-?-TP53_M NFE2L2_M-?-TP53_M,3,3,2.000000,2,,1.174825e-01
EP300_M-?-NFE2L2_M EP300_M-?-TP53_M NFE2L2_M-?-TP53_M,3,3,2.000000,2,,2.259279e-01
IKZF1_M-?-KEAP1_M,2,1,3.000000,3,,5.534759e-01
IKZF1_M-?-KEAP1_M IKZF1_M-?-TP53_M KEAP1_M-?-TP53_M,3,3,2.000000,2,,5.352941e-01
ARID1A_N-?-CDKN2A_N,2,1,2.000000,2,,1.592105e-01
ARID1A_N-?-PIK3CA_M,2,1,2.000000,2,,2.380952e-01
CBL_M-?-FAT1_N CBL_M-?-MTOR_M FAT1_N-?-MTOR_M,3,3,2.000000,2,,8.116883e-02
CUL3_M-?-TP53_M,2,1,3.000000,3,,6.592593e-01
TP53_N->-ATR_M,2,1,4.000000,4,,8.213482e-03
KEAP1_M-?-PTPRC_N,2,1,2.000000,2,,5.812672e-01
COL5A2_M-?-SMARCA4_M,2,1,2.000000,2,,2.131424e-01
KMT2C_M-?-KRAS_M,2,1,2.000000,2,,4.647974e-01
TP53_M-?-ZMYM2_M,2,1,3.000000,3,,3.735380e-01
CNOT3_M-?-TP53_M,2,1,2.000000,2,,5.113169e-01
KEAP1_M->-ASXL2_M,2,1,4.000000,4,,7.939972e-03
KEAP1_M->-ASXL2_M KEAP1_M-?-TP53_M TP53_M->-ASXL2_M,3,3,3.000000,3,,5.285191e-03
KRAS_M->-KMT2D_M,2,1,4.000000,4,,1.594540e-01
KEAP1_N-?-TP53_N,2,1,3.000000,3,,1.409091e-01
PTPRB_M->-MTOR_M,2,1,3.000000,3,,1.467267e-02
PTPRB_M->-FAT1_M,2,1,3.000000,3,,8.044327e-03
KRAS_M->-FAT1_M KRAS_M-?-PTPRB_M PTPRB_M->-FAT1_M,3,3,2.000000,2,,1.343101e-02
TP53_M->-MGA_N,2,1,3.000000,3,,2.004007e-01
EGFR_M-?-TP53_N,2,1,3.000000,3,,1.111111e-01
KRAS_M-?-NBN_N,2,1,2.000000,2,,3.000000e-01
KLF6_M-?-KRAS_M,2,1,2.000000,2,,3.000000e-01
TP53_M->-PTPRC_M,2,1,3.000000,3,,1.414565e-01
ARID1B_M-?-TP53_M,2,1,3.000000,3,,1.995465e-01
TP53_M->-KRAS_M,2,1,3.000000,3,,9.775611e-01
KRAS_M->-DNMT3A_M,2,1,3.000000,3,,1.277125e-01
KEAP1_M->-PIK3CA_M,2,1,3.000000,3,,2.126984e-02
KEAP1_M->-PIK3CA_M KEAP1_M-?-TP53_M TP53_M->-PIK3CA_M,3,3,2.000000,2,,5.366300e-02
TP53_M->-MSH2_M,2,1,3.000000,3,,4.784124e-02
TP53_M->-NCOR1_M,2,1,3.000000,3,,1.522312e-01
KEAP1_M->-NCOR1_M,2,1,3.000000,3,,2.588644e-02
KRAS_M-?-TP53_M KRAS_M-?-TSC2_M TP53_M-?-TSC2_M,3,3,2.000000,2,,2.916667e-01
KRAS_M-?-TP53_M KRAS_M-?-U2AF1_M TP53_M-?-U2AF1_M,3,3,2.000000,2,,2.857143e-01
ATM_N-?-KRAS_M,2,1,3.000000,3,,7.142857e-01
KRAS_M->-MGA_M,2,1,3.000000,3,,9.977324e-03
ARHGAP35_M-?-KRAS_M ARHGAP35_M-?-PIK3CA_M KRAS_M-?-PIK3CA_M,3,3,2.000000,2,,2.181818e-01
KRAS_M-?-NOTCH2_M,2,1,3.000000,3,,6.346154e-01
APC_N-?-STK11_N,2,1,2.000000,2,,2.666667e-01
STK11_M-?-STK11_N,2,1,2.000000,2,,3.000000e-01
APC_N-?-TP53_M,2,1,3.000000,3,,4.444444e-01
TP53_N->-EP300_M,2,1,3.000000,3,,4.335063e-02
KRAS_M->-EP300_M,2,1,3.000000,3,,9.245516e-03
CHD8_M-?-TP53_M,2,1,3.000000,3,,7.701465e-01
CHD8_M-?-NF1_M,2,1,2.000000,2,,4.990138e-01
CHD8_M-?-KRAS_M,2,1,3.000000,3,,3.948718e-01
ARID1A_N-?-KEAP1_M ARID1A_N-?-TP53_M KEAP1_M-?-TP53_M,3,3,2.000000,2,,1.831502e-01
BCLAF1_M-?-FAT1_M,2,1,2.000000,2,,5.833333e-01
TP53_M->-PLXNB2_M,2,1,3.000000,3,,4.968254e-02
RASA1_N-?-TP53_M,2,1,3.000000,3,,7.986111e-01
HCN1_N-?-TP53_M,2,1,3.000000,3,,5.833333e-01
TP53_M->-NFE2L2_M,2,1,3.000000,3,,4.183480e-01
SERPINB13_M-?-TP53_M,2,1,2.000000,2,,3.543417e-01
LATS1_N-?-TP53_M,2,1,3.000000,3,,5.555556e-01
CHD8_M-?-FAT1_M,2,1,3.000000,3,,6.666667e-01
CHD8_M-?-FAT1_M CHD8_M-?-TP53_M FAT1_M-?-TP53_M,3,3,2.000000,2,,5.000000e-01
CREBBP_M-?-FANCM_N,2,1,2.000000,2,,6.764706e-01
SMARCA4_M-?-TP53_N,2,1,3.000000,3,,9.030303e-01
CDKN2A_N-?-SMARCA4_M,2,1,3.000000,3,,1.000000e+00
NF1_N-?-TP53_N,2,1,3.000000,3,,9.088010e-01
TNR_N-?-TP53_M,2,1,3.000000,3,,2.160494e-01
KMT2D_M-?-RNF43_M,2,1,2.000000,2,,5.357143e-01
TP53_N->-PTPRB_M,2,1,3.000000,3,,3.116945e-02
KRAS_M->-CTNNB1_M,2,1,3.000000,3,,1.504274e-02
CIC_M-?-TP53_M,2,1,2.000000,2,,4.000000e-01
TP53_M->-KMT2C_M,2,1,3.000000,3,,1.323280e-01
MAP3K13_N-?-TP53_M,2,1,2.000000,2,,2.000000e-01
CREBBP_M-?-PIK3CA_M CREBBP_M-?-TP53_M PIK3CA_M-?-TP53_M,3,3,2.000000,2,,2.267732e-01
STK11_M-?-TSC2_M,2,1,2.000000,2,,4.888889e-01
KEAP1_M->-KMT2C_M,2,1,3.000000,3,,2.899184e-02
KRAS_M->-ATM_M,2,1,3.000000,3,,1.880555e-01
